dataset,horizon_h,mode,model,strongest_bench,bench_nRMSE,DM,p_value
penmanshiel,3,corrected,GRU,LinearRegression,19.2658,-0.126,0.8997
penmanshiel,3,corrected,DLinear,LinearRegression,19.2658,1.3978,0.1625
penmanshiel,3,corrected,PatchTST,LinearRegression,19.2658,4.3227,0.0
penmanshiel,6,corrected,MLP,LinearRegression,25.4901,-1.8413,0.0659
penmanshiel,6,corrected,LSTM,LinearRegression,25.4901,-0.1171,0.9068
penmanshiel,6,corrected,GRU,LinearRegression,25.4901,-0.7071,0.4797
penmanshiel,6,corrected,DLinear,LinearRegression,25.4901,3.8177,0.0001
penmanshiel,6,corrected,PatchTST,LinearRegression,25.4901,2.8433,0.0046
penmanshiel,12,corrected,MLP,LinearRegression,32.0,0.7906,0.4294
penmanshiel,12,corrected,LSTM,LinearRegression,32.0,1.7408,0.082
penmanshiel,12,corrected,GRU,LinearRegression,32.0,1.287,0.1984
penmanshiel,12,corrected,DLinear,LinearRegression,32.0,1.1024,0.2706
penmanshiel,12,corrected,PatchTST,LinearRegression,32.0,1.061,0.289
penmanshiel,18,corrected,MLP,LinearRegression,34.6145,-0.3442,0.7308
penmanshiel,18,corrected,LSTM,LinearRegression,34.6145,0.6584,0.5104
penmanshiel,18,corrected,GRU,LinearRegression,34.6145,-1.6126,0.1071
penmanshiel,18,corrected,DLinear,LinearRegression,34.6145,0.2349,0.8143
penmanshiel,18,corrected,PatchTST,LinearRegression,34.6145,-0.7735,0.4394
penmanshiel,24,corrected,MLP,Climatology,35.3172,0.5993,0.5491
penmanshiel,24,corrected,LSTM,Climatology,35.3172,0.4975,0.619
penmanshiel,24,corrected,GRU,Climatology,35.3172,0.1927,0.8473
penmanshiel,24,corrected,DLinear,Climatology,35.3172,0.5528,0.5806
penmanshiel,24,corrected,PatchTST,Climatology,35.3172,-0.6009,0.548
penmanshiel,36,corrected,MLP,Climatology,35.275,1.0443,0.2966
penmanshiel,36,corrected,LSTM,Climatology,35.275,1.0532,0.2925
penmanshiel,36,corrected,GRU,Climatology,35.275,1.0177,0.3091
penmanshiel,36,corrected,DLinear,Climatology,35.275,0.973,0.3308
penmanshiel,36,corrected,PatchTST,Climatology,35.275,0.3645,0.7156
penmanshiel,48,corrected,MLP,Climatology,35.2386,1.1855,0.2361
penmanshiel,48,corrected,LSTM,Climatology,35.2386,1.2034,0.2291
penmanshiel,48,corrected,GRU,Climatology,35.2386,1.1225,0.2619
penmanshiel,48,corrected,DLinear,Climatology,35.2386,0.9215,0.357
penmanshiel,48,corrected,PatchTST,Climatology,35.2386,0.242,0.8088
