dataset,horizon_h,mode,gap_filter,comparison,DM_HLN,p_HLN,p_bootstrap,agree_at_5pct
penmanshiel,36,corrected,filt,LSTM_vs_Climatology,1.1172,0.2642,0.2757,True
penmanshiel,36,corrected,filt,GRU_vs_Climatology,1.0055,0.3149,0.3137,True
penmanshiel,36,corrected,filt,DLinear_vs_Climatology,1.1606,0.2461,0.2488,True
penmanshiel,36,corrected,filt,PatchTST_vs_Climatology,0.1992,0.8421,0.8322,True
penmanshiel,36,corrected,filt,LSTM_vs_MLP,-0.5125,0.6084,0.5744,True
penmanshiel,3,corrected,filt,MLP_vs_LinearRegression,-0.3224,0.7472,0.7732,True
penmanshiel,3,corrected,filt,LSTM_vs_LinearRegression,-0.318,0.7506,0.7433,True
penmanshiel,3,corrected,filt,GRU_vs_LinearRegression,-0.4482,0.6541,0.6633,True
penmanshiel,3,corrected,filt,DLinear_vs_LinearRegression,2.275,0.0231,0.033,True
penmanshiel,3,corrected,filt,PatchTST_vs_LinearRegression,3.8468,0.0001,0.002,True
penmanshiel,3,corrected,filt,LSTM_vs_MLP,0.0131,0.9896,0.992,True
penmanshiel,48,corrected,filt,MLP_vs_Climatology,1.2398,0.2153,0.2338,True
penmanshiel,48,corrected,filt,LSTM_vs_Climatology,1.2413,0.2148,0.2468,True
penmanshiel,48,corrected,filt,GRU_vs_Climatology,1.0481,0.2949,0.3117,True
penmanshiel,48,corrected,filt,DLinear_vs_Climatology,0.9485,0.3431,0.3676,True
penmanshiel,48,corrected,filt,PatchTST_vs_Climatology,0.0987,0.9214,0.9101,True
penmanshiel,48,corrected,filt,LSTM_vs_MLP,-0.863,0.3883,0.4286,True
penmanshiel,6,corrected,filt,MLP_vs_LinearRegression,-1.7092,0.0877,0.0899,True
penmanshiel,6,corrected,filt,LSTM_vs_LinearRegression,-0.5148,0.6068,0.6114,True
penmanshiel,6,corrected,filt,GRU_vs_LinearRegression,-0.598,0.55,0.5345,True
penmanshiel,6,corrected,filt,DLinear_vs_LinearRegression,3.741,0.0002,0.001,True
penmanshiel,6,corrected,filt,PatchTST_vs_LinearRegression,3.4962,0.0005,0.004,True
penmanshiel,6,corrected,filt,LSTM_vs_MLP,0.9184,0.3586,0.3706,True
